"simulationTime[s]","incidentID","districtName","districtSafetyLevel","distanceOfSummonedPatrol[m]"
13201,870ab6a5-0bce-4f8b-b461-ece349c24f52,Krakowska,RatherSafe,"1019,2942521467771"
13382,50d14da3-9987-44ca-940a-4fda9f005306,Legionów Henryka D¹browskiego,RatherSafe,"501,82985745083073"
13403,aff4e76a-251f-4150-b8d9-6e0f3e68731c,Grabówka,RatherSafe,"625,0811118361763"
13511,86c07129-576e-40dd-8779-0a4e373a9e54,Grabówka,RatherSafe,"724,4767213133537"
13596,6c3c05fc-3ab8-4d39-99cb-59ee11ff59af,Strusina,RatherSafe,"1035,2511858431878"
13659,ca90791e-2eac-4a4e-8638-5681ab479fc7,Klikowa,Safe,"4406,2453398599155"
13702,439d3362-fd6c-4bb4-b8ae-cdd4e767cffa,Grabówka,RatherSafe,"329,07705263166787"
13767,710cd972-94dc-446e-9b57-22438ffba328,Westerplatte,RatherSafe,"2040,487716442549"
13925,b687a0d1-6933-4d20-8f8e-197992dd9100,Chyszów,RatherSafe,"2060,093278051269"
14041,dfc39a3e-9a2e-4bf2-9a89-ab17b101fdf0,Moœcice,RatherSafe,"2384,1856608040584"
14074,a21c0189-5e9f-44e4-aeca-5167fac8e42e,Jasna,RatherSafe,"838,5811019602992"
14150,148defdc-cdb3-44dd-9bb5-32dff78d5016,Krakowska,RatherSafe,"2658,479294085097"
14268,b5e1eece-5872-437e-bc0b-54d890c29c16,Gumniska-Zab³ocie,RatherSafe,"3586,502301752912"
14510,eaa24b44-339b-458b-953c-493a3cba64a2,Zielone,RatherSafe,"2341,338551692583"
14809,39a4b2ac-350b-4532-b64f-ee2e21141bd9,Krakowska,RatherSafe,"1036,6847247388716"
14903,1af497f8-aaea-485c-9f9d-43794798b1e0,Zielone,RatherSafe,"1574,0824760699327"
14934,da4f0d12-011f-4ade-97ad-887b2ca07262,Krakowska,RatherSafe,"2313,7197567664534"
14997,ea27e61d-1919-4f67-a0ff-9e7bc56df27e,Legionów Henryka D¹browskiego,RatherSafe,"1034,2486897440374"
15008,2c0dbde9-56a5-41aa-9d24-ae1a46236662,Strusina,RatherSafe,"433,1421680148058"
